County/City,R_SHARE,Year
Accomack County,0.542609685168795,2016
Albemarle County,0.3395092197581356,2016
Alexandria City,0.17533324534776296,2016
Alleghany County,0.6653924914675768,2016
Amelia County,0.66875,2016
Amherst County,0.6312678617822811,2016
Appomattox County,0.7133940831356884,2016
Arlington County,0.16633705791225814,2016
Augusta County,0.7198910381641581,2016
Bath County,0.6870838881491345,2016
Bedford County,0.7209641387419166,2016
Bland County,0.8196877986619943,2016
Botetourt County,0.7137520678798228,2016
Bristol City,0.6956769055745164,2016
Brunswick County,0.3971834659016821,2016
Buchanan County,0.789012652752244,2016
Buckingham County,0.5414667580534612,2016
Buena Vista City,0.5941005400914001,2016
Campbell County,0.7100417650263301,2016
Caroline County,0.48085850770369376,2016
Carroll County,0.7801434006438396,2016
Charles City County,0.3593864134404675,2016
Charlotte County,0.5990013774104683,2016
Charlottesville City,0.13171947312210752,2016
Chesapeake City,0.47954394214986024,2016
Chesterfield County,0.48194785249998584,2016
Clarke County,0.5675149153780592,2016
Colonial Heights City,0.6717512120137165,2016
Covington City,0.5663308144416457,2016
Craig County,0.7659269863994274,2016
Culpeper County,0.6008191556395716,2016
Cumberland County,0.5497350183448838,2016
Danville City,0.3853419164204306,2016
Dickenson County,0.7658385093167702,2016
Dinwiddie County,0.5485819521178638,2016
Emporia City,0.3333333333333333,2016
Essex County,0.49130917159763315,2016
Fairfax City,0.3077306733167082,2016
Fairfax County,0.28613001489523443,2016
Falls Church City,0.17068454299342528,2016
Fauquier County,0.590573037606427,2016
Floyd County,0.657433859147932,2016
Fluvanna County,0.5166580863425756,2016
Franklin City,0.34914004914004915,2016
Franklin County,0.6884802194950131,2016
Frederick County,0.6449802176063304,2016
Fredericksburg City,0.33238636363636365,2016
Galax City,0.6746632996632996,2016
Giles County,0.7196785192401364,2016
Gloucester County,0.667516183291707,2016
Goochland County,0.5972786207879176,2016
Grayson County,0.7676046671242278,2016
Greene County,0.6187552039966694,2016
Greensville County,0.3981205592482237,2016
Halifax County,0.5707899535321451,2016
Hampton City,0.2870934633395343,2016
Hanover County,0.6315235924975698,2016
Harrisonburg City,0.34802423164563995,2016
Henrico County,0.3657533576936708,2016
Henry County,0.6308802787687713,2016
Highland County,0.6887131560028756,2016
Hopewell City,0.4312833037300178,2016
Isle of Wight County,0.5790747330960854,2016
James City County,0.4935028837467862,2016
King George County,0.6087569450203167,2016
King William County,0.6522213732125314,2016
King and Queen County,0.5677576413308087,2016
Lancaster County,0.5301730624529721,2016
Lee County,0.8025321842749229,2016
Lexington City,0.3107505070993915,2016
Loudoun County,0.3820324745899714,2016
Louisa County,0.5971300550167319,2016
Lunenburg County,0.5735767991407089,2016
Lynchburg City,0.5041069776569201,2016
Madison County,0.6331852700960023,2016
Manassas City,0.38628252546882097,2016
Manassas Park City,0.3312308868501529,2016
Martinsville City,0.3638056543084476,2016
Mathews County,0.6622105064959518,2016
Mecklenburg County,0.5545667447306791,2016
Middlesex County,0.6099385075619079,2016
Montgomery County,0.4522088726731891,2016
Nelson County,0.4993988939648954,2016
New Kent County,0.6631269400424767,2016
Newport News City,0.3363666380505844,2016
Norfolk City,0.2584544538782559,2016
Northampton County,0.4351911860012962,2016
Northumberland County,0.5815085158150851,2016
Norton City,0.6993150684931507,2016
Nottoway County,0.5504151838671412,2016
Orange County,0.6092067168500289,2016
Page County,0.7291433891992551,2016
Patrick County,0.7570674486803519,2016
Petersburg City,0.10525170462788336,2016
Pittsylvania County,0.6821317804924363,2016
Poquoson City,0.70948864428034,2016
Portsmouth City,0.29573558303478564,2016
Powhatan County,0.7032544378698224,2016
Prince Edward County,0.44853986656458494,2016
Prince George County,0.5658057340583292,2016
Prince William County,0.36492179629384647,2016
Pulaski County,0.6805564712863453,2016
Radford City,0.43352506162695154,2016
Rappahannock County,0.5663618112870845,2016
Richmond City,0.1505643384484558,2016
Richmond County,0.6044796503687517,2016
Roanoke City,0.3747276136421223,2016
Roanoke County,0.6099943677290295,2016
Rockbridge County,0.618805002315887,2016
Rockingham County,0.6933070130978739,2016
Russell County,0.777478360280908,2016
Salem City,0.5910838445807771,2016
Scott County,0.8165346534653465,2016
Shenandoah County,0.6870764880807293,2016
Smyth County,0.756400310318076,2016
Southampton County,0.5671322369903131,2016
Spotsylvania County,0.553419008343723,2016
Stafford County,0.513665180331847,2016
Staunton City,0.4560639715681919,2016
Suffolk City,0.41641998149861237,2016
Surry County,0.4302270577105014,2016
